Year,Authors,Paper,Arm nbr,Tube nbr arm 1,Tube nbr arm 2,Tube nbr arm 3,Tube nbr arm 4,MT1A1,MT2A1,MT3A1,MT4A1,MT1A2,MT2A2,MT3A2,MT4A2,MT1A3,MT2A3,MT3A3,MT4A3,MT1A4,MT2A4,MT3A4,MT4A4,ID1A1,OD1A1,ID2A1,OD2A1,ID3A1,OD3A1,ID4A1,OD4A1,ID1A2,OD1A2,ID2A2,OD2A2,ID3A2,OD3A2,ID4A2,OD4A2,ID1A3,OD1A3,ID2A3,OD2A3,ID3A3,OD3A3,ID4A3,OD4A3,ID1A4,OD1A4,ID2A4,OD2A4,ID3A4,OD3A4,ID4A4,OD4A4,K1A1,K2A1,K3A1,K4A1,K1A2,K2A2,K3A2,K4A2,K1A3,K2A3,K3A3,K4A3,K1A4,K2A4,K3A4,K4A4,LS1A1,LC1A1,LS2A1,LC2A1,LS3A1,LC3A1,LS4A1,LC4A1,LS1A2,LC1A2,LS2A2,LC2A2,LS3A2,LC3A2,LS4A2,LC4A2,LS1A3,LC1A3,LS2A3,LC2A3,LS3A3,LC3A3,LS4A3,LC4A3,LS1A4,LC1A4,LS2A4,LC2A4,LS3A4,LC3A4,LS4A4,LC4A4
2020,Wang et al.,https://doi.org/10.1007/s11517-019-02093-9,3,2,3,3,-,N*,N*,N*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,Rox et al.,https://doi.org/10.1109/TMECH.2020.2976897,2,2,2,-,-,N*,N*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.00,1.20,1.40,1.70,-,-,-,-,1.00,1.20,1.40,1.70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,25,-,-,66,25,-,-,-,-,-,-,-,-,-,-,-,30,-,11,-,-,-,-,-,30,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016,Swaney et al.,https://doi.org/10.1115/DSCC2012-MOVIC2012-8536,4,3,3,3,3,N*,N*,N*,N*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016,Yu et al.,https://doi.org/10.1109/LRA.2016.2530794,3,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.6,-,2.6,-,-,-,-,-,2.4,-,3.0,-,-,-,-,-,2.1,-,2.9,-,-,-,-,-,-,-,-,-,-,-,-,88,100,-,-,70,1428,-,-,82,147,-,-,-,-,-,-,-,62,-,143,-,-,-,-,-,75,-,127,-,-,-,-,-,48,-,87,-,-,-,-,-,-,-,-,-,-,-,-
2015,Hendrick et al.,https://doi.org/10.1177/0278364915585397 https://doi.org/10.1109/ICRA.2014.6907268,2,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,Burgner-Kahrs et al.,https://doi.org/10.1109/TMECH.2013.2265804,2,3,3,-,-,N*,N*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.76,1.17,1.35,1.68,1.87,2.32,-,-,0.76,1.16,1.35,1.68,1.87,2.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,170,313,-,57,147,286,-,-,-,-,-,-,-,-,-,418,38,241,70,82,69,-,-,436,39,241,55,95,53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,Swaney et al.,https://doi.org/10.1115/DSCC2012-MOVIC2012-8536,4,3,3,3,-,N*,N*,N*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,Burgner-Kahrs et al.,https://doi.org/10.1109/IROS.2011.6094722,2,3,3,-,-,N*,N*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.40,1.65,2.04,2.29,2.80,3.05,-,-,1.40,1.65,2.04,2.29,2.80,3.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,119,Inf,-,54,119,Inf,-,-,-,-,-,-,-,-,-,164,61,121,60,100,0,-,-,164,61,121,60,100,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
